"","title","fit$cluster","sse"
"1","10 Cloverfield Lane",7,427.636764133832
"2","Alice Through the Looking Glass",1,427.636764133832
"3","Allied",5,427.636764133832
"4","Alvin and the Chipmunks The Road Chip",6,427.636764133832
"5","Arrival",5,427.636764133832
"6","Assassin's Creed",5,427.636764133832
"7","Bad Moms",5,427.636764133832
"8","Bad Santa 2",7,427.636764133832
"9","Bastille Day",7,427.636764133832
"10","Batman v Superman: Dawn of Justice",3,427.636764133832
"11","Ben-Hur (2016)",4,427.636764133832
"12","Blair Witch",7,427.636764133832
"13","Bridget Jones's Baby",3,427.636764133832
"14","Brooklyn",7,427.636764133832
"15","Cafe Society",7,427.636764133832
"16","Captain America: Civil War",3,427.636764133832
"17","Captain Fantastic",7,427.636764133832
"18","Capture the Flag (Atrapa la bandera)",7,427.636764133832
"19","Carol",7,427.636764133832
"20","Central Intelligence",5,427.636764133832
"21","Collateral Beauty",4,427.636764133832
"22","Concussion (2015)",7,427.636764133832
"23","Creed",4,427.636764133832
"24","Criminal (2016)",7,427.636764133832
"25","Daddy's Home",4,427.636764133832
"26","Deadpool",8,427.636764133832
"27","Deepwater Horizon",4,427.636764133832
"28","Dirty Grandpa",6,427.636764133832
"29","Doctor Strange",3,427.636764133832
"30","Don't Breathe",4,427.636764133832
"31","Eddie the Eagle",7,427.636764133832
"32","Elle",7,427.636764133832
"33","En man som heter Ove",7,427.636764133832
"34","Eye in the Sky",7,427.636764133832
"35","Fantastic Beasts and Where To Find Them",2,427.636764133832
"36","Fifty Shades of Black",7,427.636764133832
"37","Finding Dory",8,427.636764133832
"38","Florence Foster Jenkins",7,427.636764133832
"39","Ghostbusters (2016)",4,427.636764133832
"40","Gods of Egypt",5,427.636764133832
"41","Goosebumps",7,427.636764133832
"42","Hacksaw Ridge",5,427.636764133832
"43","Hail, Caesar!",7,427.636764133832
"44","Hardcore Henry",7,427.636764133832
"45","Hell or High Water",7,427.636764133832
"46","How to Be Single",5,427.636764133832
"47","I, Daniel Blake",7,427.636764133832
"48","Ice Age: Collision Course",2,427.636764133832
"49","Independence Day: Resurgence",1,427.636764133832
"50","Inferno",3,427.636764133832
"51","Jack Reacher: Never Go Back",4,427.636764133832
"52","Jason Bourne",6,427.636764133832
"53","Joy",4,427.636764133832
"54","Julieta",7,427.636764133832
"55","Kubo and the Two Strings",7,427.636764133832
"56","Kung Fu Panda 3",3,427.636764133832
"57","La La Land",4,427.636764133832
"58","Les Visiteurs 3: la Terreur (The Visitors: Bastille Day)",7,427.636764133832
"59","Lights Out",4,427.636764133832
"60","London Has Fallen",5,427.636764133832
"61","Masterminds (2016)",7,427.636764133832
"62","Me Before You",1,427.636764133832
"63","Mechanic: Resurrection",5,427.636764133832
"64","Mike and Dave Need Wedding Dates",4,427.636764133832
"65","Miss Peregrine's Home for Peculiar Children",1,427.636764133832
"66","Moana",3,427.636764133832
"67","Money Monster",4,427.636764133832
"68","Mother's Day",7,427.636764133832
"69","My Big Fat Greek Wedding 2",7,427.636764133832
"70","Neighbors 2: Sorority Rising",5,427.636764133832
"71","Nerve",4,427.636764133832
"72","Nine Lives (2016)",7,427.636764133832
"73","Nocturnal Animals",7,427.636764133832
"74","Norm of the North",4,427.636764133832
"75","Now You See Me 2",6,427.636764133832
"76","Office Christmas Party",5,427.636764133832
"77","Ouija: Origin of Evil",7,427.636764133832
"78","Passengers (2016)",6,427.636764133832
"79","Pete's Dragon",4,427.636764133832
"80","Point Break (2015)",4,427.636764133832
"81","Ratchet & Clank",7,427.636764133832
"82","Ride Along 2",4,427.636764133832
"83","Risen",7,427.636764133832
"84","Robinson Crusoe (2016)",4,427.636764133832
"85","Rogue One: A Star Wars Story",8,427.636764133832
"86","Room",7,427.636764133832
"87","Sausage Party",4,427.636764133832
"88","Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)",7,427.636764133832
"89","Sing",3,427.636764133832
"90","Sisters",7,427.636764133832
"91","Snowden",7,427.636764133832
"92","Spotlight",4,427.636764133832
"93","Star Trek Beyond",1,427.636764133832
"94","Storks",1,427.636764133832
"95","Suicide Squad",2,427.636764133832
"96","Sully",1,427.636764133832
"97","Teenage Mutant Ninja Turtles: Out of the Shadows",4,427.636764133832
"98","The 5th Wave",4,427.636764133832
"99","The Accountant",4,427.636764133832
"100","The Angry Birds Movie",3,427.636764133832
"101","The BFG",1,427.636764133832
"102","The Big Short",4,427.636764133832
"103","The Boss",7,427.636764133832
"104","The Boy (2016)",7,427.636764133832
"105","The Brothers Grimsby",4,427.636764133832
"106","The Choice",7,427.636764133832
"107","The Conjuring 2",1,427.636764133832
"108","The Danish Girl",4,427.636764133832
"109","The Divergent Series: Allegiant",5,427.636764133832
"110","The Finest Hours",7,427.636764133832
"111","The Forest",7,427.636764133832
"112","The Girl on the Train (2016)",6,427.636764133832
"113","The Hateful Eight",6,427.636764133832
"114","The Huntsman Winter's War",5,427.636764133832
"115","The Infiltrator",7,427.636764133832
"116","The Jungle Book (2016)",8,427.636764133832
"117","The Legend of Tarzan",1,427.636764133832
"118","The Light Between Oceans",7,427.636764133832
"119","The Magnificent Seven (2016)",4,427.636764133832
"120","The Nice Guys",4,427.636764133832
"121","The Purge: Election Year",7,427.636764133832
"122","The Revenant",8,427.636764133832
"123","The Secret Life of Pets",8,427.636764133832
"124","The Shallows",4,427.636764133832
"125","Tini: El gran cambio de Violetta",7,427.636764133832
"126","Toni Erdmann",7,427.636764133832
"127","Triple 9",7,427.636764133832
"128","Trolls",3,427.636764133832
"129","Underworld: Blood Wars",4,427.636764133832
"130","War Dogs",4,427.636764133832
"131","Warcraft",3,427.636764133832
"132","Why Him?",5,427.636764133832
"133","X-Men: Apocalypse",1,427.636764133832
"134","Zoolander 2",7,427.636764133832
"135","Zootopia",8,427.636764133832
