"","country","fit$cluster","sse"
"1","Austria",4,1600.58206115544
"2","Belgium and Luxembourg",4,1600.58206115544
"3","Bulgaria",1,1600.58206115544
"4","Croatia",4,1600.58206115544
"5","Czech Republic",3,1600.58206115544
"6","Finland",2,1600.58206115544
"7","France and Algeria, Monaco, Morocco and Tunisia",2,1600.58206115544
"8","Germany",2,1600.58206115544
"9","Hungary",1,1600.58206115544
"10","Iceland",1,1600.58206115544
"11","Italy",2,1600.58206115544
"12","Lithuania",3,1600.58206115544
"13","Netherlands",2,1600.58206115544
"14","Norway",2,1600.58206115544
"15","Portugal and Angola",2,1600.58206115544
"16","Romania",1,1600.58206115544
"17","Slovakia",3,1600.58206115544
"18","Slovenia",3,1600.58206115544
"19","Spain",2,1600.58206115544
"20","Turkey",3,1600.58206115544
"21","Ukraine",1,1600.58206115544
"22","United Kingdom, Ireland and Malta",2,1600.58206115544
