"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Alice Through the Looking Glass",-3.87635000903469,0.661938688892592,0.20644792831078,-0.356063123356971,0.548910100384952,-0.398721172817744,-1.01686946918783,-0.239250590370204,-0.402836584614521,-0.771432029831495
"Alvin and the Chipmunks The Road Chip",-2.00784479344254,-1.31372805088013,1.40524110942215,0.582963236007288,-0.416707037179897,1.05234511672376,0.501137083633446,-0.523941100266813,-0.61442940959599,-0.512695365308807
"Assassin's Creed",-3.10619482134223,0.374315233462489,0.34791492822135,-1.2692012764821,0.93202788620627,-1.06860077793541,1.33179934744924,-0.505614954839307,0.259251886172964,-0.0457304634058832
"Bad Moms",-3.80213038952556,-0.549784036828296,0.51589747633101,0.224158122130281,-0.497201058547766,-0.940937862817773,-0.601012044111056,-0.626525479420424,0.890270719537473,0.994966409872381
"Batman v Superman: Dawn of Justice",2.24511919247945,0.655803332920494,-1.47232648708876,-1.02507827012335,-2.81089545641605,1.67924005165344,0.73926796901147,-0.482982343832648,1.23564333428278,-0.61761998205797
"Bridget Jones's Baby",0.643461515311239,-0.758742351645849,2.84729666425095,2.61303515940726,-2.14144868234551,-0.231979683088599,-0.347119667063324,-1.02931742817088,-1.36598849810193,0.247289616868462
"Captain America: Civil War",1.8178624597581,2.66902043207566,-1.01467321638818,-0.309364865561872,-0.793251031028241,0.333188710151273,0.078997816280657,-0.369428435901271,0.283301970625492,-0.970250778876752
"Deadpool",4.93623017972989,-1.08334546295578,-1.22405582255895,-0.379448352910419,-2.10446462823743,0.71740351448917,0.128366019629072,0.148977509333508,-0.373162033682172,0.590075176067634
"Dirty Grandpa",-2.79288994504214,-1.94333982671331,-0.540007160940317,-1.48637227506961,-0.870009533067553,-1.45949843078471,0.313477775925189,0.214633058758047,0.305537108589935,0.433779766492949
"Doctor Strange",0.873953646721683,1.61480879102653,-1.58664838021184,-0.222596635985246,-0.304619827228251,-1.1348609036163,-0.394870461143472,0.739122388146594,-0.344902271499976,-0.113658948618187
"Fantastic Beasts and Where To Find Them",4.48668072181768,1.33376189195625,-0.299825865084517,2.77418472136389,-0.131861811066902,-0.703035314849542,-1.77027470521793,-0.252041918883873,0.0762774604303486,-0.0682982773130859
"Finding Dory",3.98904254858554,2.22434456738966,2.340338670138,-1.52180407497344,0.808454826315368,0.363139874353218,-1.48152598798052,-1.56516733582152,0.936063610598428,-0.0251888642776972
"Ice Age: Collision Course",3.19659092944346,-2.26012202881454,-2.27231863740446,0.907619935008909,1.69206734381109,-0.710801946478469,1.51037611035163,-2.3204148468739,0.265197577661416,-1.48806905637538
"Independence Day: Resurgence",-3.48293050901196,0.190159728541689,-0.488392964861816,0.28694735531248,0.113153187874619,-1.72579913429097,0.23012456016255,0.523116008394308,0.333179246598375,-0.229908945560773
"Inferno",-0.664451635388262,-1.06797072619324,-0.326032626813614,-1.35652250666118,-0.0325158440719768,-0.339487259330918,-2.00772967283711,0.758531927835927,0.215369265264332,-0.906599302371289
"Jason Bourne",-2.15602020271103,-0.390511193393594,1.58034565277176,0.870694743873206,-1.06185395815977,0.116585371477703,0.799482866251232,0.745860676194322,0.500415364496575,-0.532106075121578
"Kung Fu Panda 3",-0.337518269736198,-1.48985670620954,0.136506199914952,0.233535133330318,0.575488084967933,0.765870053939255,-0.310358498773556,-0.738246327424052,-0.0878859947337618,0.519738887590706
"Miss Peregrine's Home for Peculiar Children",-3.2453353025245,1.27223619075977,-0.255119832186488,-0.346408576669615,0.684148910302782,-0.00448843467471756,-0.110726876215552,-0.163337686698848,-1.73618102327161,0.406566738309008
"Moana",0.295282270884656,1.68490222922455,0.393734412440651,-1.09185044109332,1.73206508027406,1.18853373336213,0.246631550058276,-0.331688332664015,0.418800299932478,0.630360273037151
"Now You See Me 2",-2.35453729957988,-0.210018229361122,-1.89155993710045,-1.22759340056028,-0.884894846698815,0.602820498154515,-0.131765377714435,0.176125649816641,-0.0395919503741727,0.949286574079877
"Passengers",-2.90383603617801,-0.287582845771748,-0.270399534261238,0.239904411954531,0.272782198541641,1.42976482042573,-0.0876907385785123,1.40383555545603,-0.314925525067445,-0.203794510950024
"Rogue One: A Star Wars Story",6.50196134612474,0.733280777310468,1.96736848548153,0.0284226855932754,-0.738269000026215,-2.60402379416501,1.8162562929576,0.910923052673327,0.469298190668365,0.877816457848329
