"","title","gross.title"
"1","#Sohavégetnemérös",116870
"2","#WszystkoGra",6990
"3","03.ByPass",1783
"4","1 Kezban 1 Mahmut: Adana Yollarinda",295684
"5","10 Cloverfield Lane",14874909
"6","100 metros",1980192
"7","100 Streets",309
"8","11 Minutes",6143
"9","12 kedziu (12 Chairs)",347915
"10","13 Hours: The Secret Soldiers of Benghazi",2896301
"11","13th",566
"12","1898, The Last Ones of the Philippines",1986252
"13","1920 London",16077
"14","1944",38753
"15","2 Countries",74236
"16","2 Nights Till Morning (2 yötä aamuun)",40130
"17","24",183873
"18","25 Kille",7106
"19","28 Days Later (2016 Secret Cinema)",1941549
"20","30 svidaniy (30 Dates)",48860
"21","31st October",6940
"22","400 Days",58
"23","45 Years",829706
"24","5 Dakkada Degisir Bütün Isler",31704
"25","5 Flights Up (Ruth & Alex)",35148
"26","600 Millas (600 Miles)",21812
"27","7 minuti",593966
"28","8 luchshikh svidaniy (8 Best Dates)",1350052
"29","91.1",2081
"30","99 Homes",14193
"31","A Beautiful Planet",4388
"32","A Bigger Splash",3704701
"33","A Blast",270
"34","A Canção de Lisboa",1055809
"35","A Conspiracy of Faith (Flaskepost fra P)",428357
"36","A Date for Mad Mary",59695
"37","A Dragon Arrives!",4605
"38","A Flickering Truth",734
"39","A Flying Jatt",69043
"40","À fond",6537106
"41","A Good American",5457
"42","A Hologram for the King",2551353
"43","À jamais (Never Ever)",77659
"44","A Kid (Le fils de Jean)",2660472
"45","A Mãe é que Sabe",55848
"46","A Monster Calls",29710507
"47","A Monster with a Thousand Heads",1047
"48","A Perfect Day",256806
"49","A Poem Is a Naked Person (2015 re-issue)",183
"50","A Quiet Passion",336723
"51","A Real Vermeer (Een echte Vermeer)",92684
"52","A Royal Night Out",310782
"53","A Season of Daphne (Defne'nin Bir Mevsimi)",2899
"54","A Street Cat Named Bob",6841828
"55","A Tale of Love and Darkness",2973
"56","A toca do lobo (The Wolf's Lair)",8597
"57","A Trip to Jamaica",9833
"58","A United Kingdom",3006319
"59","A Vingança de Uma Mulher",3361
"60","A Walk in the Woods",179235
"61","Aanandam",4131
"62","Aandavan Kattalai",2476
"63","Aatishbaazi Ishq",705
"64","Abattoir",24305
"65","Abbas'in Melekleri",4234
"66","About Ray",360447
"67","Above and Below",1189
"68","Absolutely Anything",2492
"69","Absolutely Fabulous: The Movie",21877804
"70","Acantilado",96169
"71","Achcham Yenbadhu Madamaiyada",38205
"72","Achter de wolken",982277
"73","Action Hero Biju",24233
"74","Actor in Law",45960
"75","Adam Misin!",287328
"76","Adi Kapyare Kootamani",5818
"77","Adim Adim",10035
"78","Adios Amigos",94509
"79","Adopte un veuf",8157195
"80","Adult Life Skills",75190
"81","Ae Dil Hai Mushkil",1855792
"82","Afacerea Est (Eastern Business)",17994
"83","After the Storm",139214
"84","Against the Sun",52
"85","Agava",54251
"86","Agent F.O.X.",27404
"87","Ahora O Nunca",2824
"88","Airlift",240267
"89","Akenfield (2016 re-release)",3847
"90","Al final del túnel",770248
"91","Al posto tuo",1215311
"92","Alamet-i Kiyamet: Tarikat",454374
